project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Divine Galaxy Apartment,4250000.0,468.0,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,7,6,Resale,Ready to Move,,Unknown
Atharva Society,6000000.0,468.0,2.0,2.0,Kopar Khairane,Navi Mumbai,19.1033695651723,73.0121586680414,Semi-Furnished,Apartment,0,0,10,Resale,Ready to Move,,Unknown
Tulsi Heights CHS,11500000.0,891.0,2.0,2.0,Khandeshhwar,Navi Mumbai,19.0101328272487,73.0960622725552,Unfurnished,Apartment,0,0,2,Resale,Ready to Move,,Unknown
Jainam Nx,4000000.0,461.0,1.0,1.0,Sector 19 Ulwe,Navi Mumbai,18.973194,73.029363,Furnished,Apartment,0,0,0,Resale,Ready to Move,,Jainam Group
Hiranandani Fortune City,15000000.0,1044.0,2.0,3.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Semi-Furnished,Apartment,0,35,10,Resale,Ready to Move,,Hiranandani Group
Ram Laxman Tower,6800000.0,412.0,1.0,1.0,Vashi,Navi Mumbai,19.0777155057838,73.0027923491613,Semi-Furnished,Apartment,0,0,9,Resale,Ready to Move,,Unknown
Krishna Residency,5500000.0,450.0,1.0,1.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Unfurnished,Apartment,0,2,3,Resale,Ready to Move,,Radhe Krishna Builders
Manjari Paradise,6000000.0,384.0,1.0,1.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Unfurnished,Apartment,0,0,8,Resale,Ready to Move,,Unknown
The Signature,18000000.0,,2.0,2.0,Sector 44A Seawoods,Navi Mumbai,19.0125017862104,73.0115225755724,Unfurnished,Apartment,0,24,1,New Property,Under Construction,,Shree Sawan Buildcon
Proviso Sai Proviso Sapphire,5400000.0,,1.0,1.0,Roadpali,Navi Mumbai,19.0385501152056,73.0962748008091,Unfurnished,Apartment,0,8,2,New Property,Under Construction,,Proviso Group
Prajapati Ornate,10000000.0,,2.0,2.0,New Panvel East,Navi Mumbai,18.998631,73.120102,Semi-Furnished,Apartment,0,2,3,New Property,Under Construction,,PRAJAPATI CONSTRUCTIONS Ltd.
MGM Residency,4100000.0,443.0,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,0,6,Resale,Ready to Move,,Unknown
Neelsidhi Regalia,5500000.0,,1.0,2.0,Khanda Colony,Navi Mumbai,19.0060589882185,73.1090163976725,Unfurnished,Apartment,0,21,3,New Property,Under Construction,,Neelsidhi
Ganesha Sai Aashray,5500000.0,,2.0,2.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,22,6,New Property,Ready to Move,,Ganesha Construction
Konnark Heavens,2460000.0,450.0,1.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,2,5,Resale,Ready to Move,,Konnark Realtors
Jindal Residency,4500000.0,,1.0,1.0,Old Panvel,Navi Mumbai,18.9866237154805,73.1078262369691,Unfurnished,Apartment,0,6,4,New Property,Under Construction,,Jindal Builder
Progressive Pearl,9900000.0,617.0,2.0,2.0,Kopar Khairane,Navi Mumbai,19.1033695651723,73.0121586680414,Unfurnished,Apartment,0,0,10,Resale,Ready to Move,,Progressive Group
Emerald Bay,80000000.0,,4.0,4.0,Nerul,Navi Mumbai,19.034973,73.02228,Unfurnished,Apartment,0,0,8,New Property,Ready to Move,,Maithili Group
Shubh Darshan CHS,5500000.0,331.0,3.0,2.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Furnished,Apartment,0,0,5,Resale,Ready to Move,,Cooperative Group Housing Society
Today Sai Vrindavan,5400000.0,,1.0,2.0,Karanjade,Navi Mumbai,18.974265373985,73.1099196329075,Unfurnished,Apartment,0,0,2,Resale,Ready to Move,,Unknown
Swaminarayan Complex,7000000.0,806.0,2.0,2.0,Karanjade,Navi Mumbai,18.974265373985,73.1099196329075,Unfurnished,Apartment,0,10,2,Resale,Ready to Move,,Sai Enterprises
Marvel Amit CHS,7200000.0,713.0,2.0,2.0,Kalamboli,Navi Mumbai,19.0311212885643,73.1052711758489,Unfurnished,Apartment,0,10,5,Resale,Ready to Move,,Marvel Realtors
Shivam Complex,4600000.0,562.0,2.0,1.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Furnished,Apartment,0,0,5,Resale,Ready to Move,,Unknown
Mittal Tower CHS,11000000.0,692.0,2.0,2.0,Kopar Khairane,Navi Mumbai,19.1033695651723,73.0121586680414,Furnished,Apartment,0,0,10,Resale,Ready to Move,,Cooperative Group Housing Society
National Meridian Apartments,53000000.0,2160.0,5.0,5.0,Nerul,Navi Mumbai,19.034973,73.02228,Semi-Furnished,Apartment,0,0,8,Resale,Ready to Move,,Unknown
Neelsidhi Orbit,6000000.0,360.0,1.0,1.0,New Panvel,Navi Mumbai,19.0003258753664,73.1153385297118,Unfurnished,Apartment,0,25,5,Resale,Under Construction,,Neel Sidhi
Parth Avenue,5500000.0,306.0,1.0,1.0,Kamothe,Navi Mumbai,19.0174101252323,73.0958540380712,Semi-Furnished,Apartment,0,14,3,Resale,Ready to Move,,Parth Enterprise
Majestic Heights,21000000.0,808.0,2.0,2.0,Nerul,Navi Mumbai,19.034973,73.02228,Unfurnished,Apartment,0,16,8,Resale,Ready to Move,,Majestic Developers
Unnati Tower,2550000.0,233.0,1.0,1.0,Ulwe,Navi Mumbai,18.9750941,73.052334,Unfurnished,Apartment,0,10,6,Resale,Ready to Move,,Raja Developers
Sai Ashish,11200000.0,817.0,2.0,2.0,Ghansoli,Navi Mumbai,19.1271933235627,72.9966520846173,Furnished,Apartment,0,9,9,Resale,Ready to Move,,Sai Developers
Samrajya Land,270000.0,,,,Uran,Navi Mumbai,18.8763656322669,72.9355372705729,,Residential Plot,0,0,5,New Property,,,Samrajya Reality
Paradise Sai World Empire,50000000.0,1400.0,3.0,3.0,Kharghar,Navi Mumbai,19.0656721198219,73.05961185164,Furnished,Apartment,0,59,8,New Property,Ready to Move,,Paradise Group
Unkown,2600000.0,375.0,1.0,2.0,,Navi Mumbai,,,Unfurnished,Apartment,0,0,0,Resale,Ready to Move,,Unknown
Qualcon Greenwood Estate Phase 2,3700000.0,,1.0,2.0,Panvel,Navi Mumbai,18.9894007,73.1175162,Unfurnished,Apartment,0,43,10,Resale,Ready to Move,,Qualcon Properties LLP
