project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Unkown,7800000.0,,2,1,Dombivli,Beyond Thane,19.2094006,73.0939483,Semi-Furnished,Apartment,0,0,8,Resale,Ready to Move,,Unknown
Charms Paradise,3200000.0,,1,1,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Semi-Furnished,Apartment,0,12,4,Resale,Ready to Move,,Charms Group
Unkown,950000.0,,,1,Shelu,Beyond Thane,19.0640445,73.3163381,Unfurnished,Studio Apartment,0,0,0,Resale,Ready to Move,,Unknown
Unkown,1700000.0,,,,Dombivli West,Beyond Thane,19.2174682509913,73.0750339345098,Unfurnished,Studio Apartment,0,0,2,Resale,Ready to Move,,Unknown
Unkown,1200000.0,,1,1,Neral,Beyond Thane,19.0248210057881,73.3169473654086,Unfurnished,Builder Floor Apartment,0,0,0,Resale,Ready to Move,,Unknown
Mohan Suburbia,5300000.0,749,2,2,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Semi-Furnished,Apartment,0,32,1,Resale,Ready to Move,,Mohan Group
Mohan Suburbia,4000000.0,518,1,2,Ambernath East,Beyond Thane,19.2075883274914,73.1854898657514,Unfurnished,Apartment,0,32,1,Resale,Ready to Move,,Mohan Group
Lodha Casa Bella Gold,6900000.0,661,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,20,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Bella Gold,4200000.0,421,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,20,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Bella Gold,8000000.0,661,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Furnished,Apartment,0,20,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Bella Gold,4200000.0,421,1,1,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Unfurnished,Apartment,0,20,5,Resale,Ready to Move,,Lodha Developers Limited
Lodha Casa Bella Gold,7800000.0,661,2,2,Dombivli East,Beyond Thane,19.2049111648702,73.1069201060438,Semi-Furnished,Apartment,0,20,5,Resale,Ready to Move,,Lodha Developers Limited
