project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,parking,developers
Runwal Garden City,14500000,961,3,3,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,43,8,Resale,Ready to Move,,Runwal Enterprises
Runwal Garden City,21800000,1206,3,3,Dombivli,Beyond Thane,19.2094006,73.0939483,Unfurnished,Apartment,0,43,8,Resale,Ready to Move,,Runwal Enterprises
Runwal Garden City,17000000,864,3,3,Dombivli,Beyond Thane,19.2094006,73.0939483,Furnished,Apartment,0,43,8,Resale,Ready to Move,,Runwal Enterprises
Rukmini Garden Building No 2,2700000,486,1,1,Titwala,Beyond Thane,19.295217297811,73.2124239025258,Unfurnished,Apartment,0,30,4,Resale,Ready to Move,,Rukmini Associates Builders and Developers
Royale City,2500000,450,1,1,Asangaon,Beyond Thane,19.4390197,73.3030715,Unfurnished,Apartment,0,29,2,Resale,Ready to Move,,Royale Group
Royal Flora,2800000,468,1,1,Ambernath,Beyond Thane,19.1986487504664,73.2004913077756,Unfurnished,Apartment,0,12,6,Resale,Ready to Move,,Royal Galaxy Developers
Rosa Gardenia,8000000,554,2,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,18,4,Resale,Ready to Move,,Rosa Group
Amber Heights,2900000,511,1,2,Ambernath,Beyond Thane,19.1986487504664,73.2004913077756,Semi-Furnished,Apartment,0,19,6,Resale,Ready to Move,,Shree Krishna Enterprises
Amrut Paradise,9600000,619,2,2,Kalwa West,Thane,19.1934770219273,72.9884750137769,Furnished,Apartment,0,13,2,Resale,Ready to Move,,Mehata Builders
Lodha Supremus 2,40000000,1363,,1,Kolshet,Thane,19.2392002271759,72.997235034948,Furnished,Office in IT Park/ SEZ,0,0,0,Resale,Ready to Move,2 Covered,Unknown
Fiama Residency,9500000,495,1,2,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,Unfurnished,Apartment,0,15,4,Resale,Ready to Move,,Fiama Construction Company
