project_name,price,area,bedrooms,bathrooms,locality,city,lat,long,furnished,type,rera,amenities,landmarks,transaction,possesion_by,developers,project_name_encoded,locality_encoded,city_encoded,developers_encoded
Unkown,7999999.0,627.0,2.0,2.0,Mumbai Nashik Expressway,Thane,19.1960601,72.96236674,0.0,1.0,0.0,0.0,0.0,1.0,1.0,Unknown,15096882.33921457,7999999.0,11830959.195290858,14922676.984989278
Unkown,100000000.0,2404.611491117834,4.0,4.0,Naupada,Thane,19.18877,72.97044,1.0,1.0,0.0,0.0,7.0,0.0,1.0,Unknown,15096882.33921457,31127465.0,11830959.195290858,14922676.984989278
Delanna,19000000.0,697.0,2.0,2.0,Hiranandani Estate,Thane,19.2577957544321,72.9839623718896,0.5,1.0,0.0,9.0,4.0,0.0,1.0,Hiranandani Group,17500000.0,20068965.51724138,11830959.195290858,24471228.07017544
Dosti Vihar,17000000.0,850.0,3.0,2.0,Samata Nagar Thane West,Thane,19.2048674239153,72.9627715321129,0.0,1.0,0.0,28.0,1.0,0.0,1.0,DOSTI REALTY,16100000.0,17400000.0,11830959.195290858,14372222.222222222
Hiranandani Rodas Enclave,19500000.0,727.0,2.0,2.0,Hiranandani Estate,Thane,19.2577957544321,72.9839623718896,0.5,1.0,0.0,18.0,4.0,0.0,1.0,Hiranandani Group,19500000.0,20068965.51724138,11830959.195290858,24471228.07017544
Piramal Vaikunth,13500000.0,708.0,2.0,2.0,Balkum Pada,Thane,19.218154,72.993664,1.0,1.0,0.0,12.0,3.0,0.0,1.0,Piramal Realty,18247444.444444444,11619798.28,11830959.195290858,33815722.222222224
Lodha Amara,12500000.0,735.0,2.0,2.0,Kolshet Road,Thane,19.2321621,72.9873688,0.0,1.0,0.0,42.0,1.0,0.0,1.0,Lodha Developers Limited,11600000.0,12836061.855670104,11830959.195290858,13938004.985772358
Puraniks City,6000000.0,477.0,1.0,2.0,Thane West,Thane,19.2083097363891,72.9724465271482,0.5,1.0,0.0,13.0,10.0,0.0,1.0,Puranik Group,6266666.666666667,12587073.863636363,11830959.195290858,7183333.333333333
Ashar residency,24000000.0,1050.0,3.0,3.0,Vasant Vihar,Thane,19.2239106440589,72.9678909294473,0.5,1.0,1.0,0.0,1.0,0.0,1.0,Unknown,24000000.0,16950588.23529412,11830959.195290858,14922676.984989278
Unkown,18500000.0,763.0,2.0,2.0,Naupada,Thane,19.18877,72.97044,0.0,1.0,0.0,0.0,7.0,0.0,1.0,Unknown,15096882.33921457,31127465.0,11830959.195290858,14922676.984989278
Arcadia Shopping Center,40000000.0,335.0,2.0,1.0,Hiranandani Estate,Thane,19.2577957544321,72.9839623718896,0.0,2.0,0.0,0.0,4.0,0.0,1.0,Unknown,40000000.0,20068965.51724138,11830959.195290858,14922676.984989278
Lodha Luxuria,34000000.0,1600.0,4.0,4.0,Sainath Nagar Majiwada,Thane,19.21386808,72.98213117,0.5,1.0,1.0,54.0,2.0,0.0,1.0,Lodha Developers Limited,21000000.0,16993800.0,11830959.195290858,13938004.985772358
One Hiranandani Park,15900000.0,580.0,2.0,2.0,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,1.0,1.0,0.0,45.0,4.0,1.0,1.0,Hiranandani Group,39666666.666666664,10508414.062706271,11830959.195290858,24471228.07017544
Rustomjee Azziano,15000000.0,824.0,2.0,2.0,Majiwada,Thane,19.215865938964,72.9914374146644,0.5,1.0,0.0,21.0,6.0,0.0,1.0,Rustomjee,15443411.764705881,12413734.446601942,11830959.195290858,30652286.95652174
Haware Citi,5100000.0,415.0,1.0,1.0,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,0.5,1.0,0.0,32.0,4.0,0.0,1.0,Haware Group,5240000.0,10508414.062706271,11830959.195290858,7666666.666666667
Lodha Amara,14500000.0,725.4553829784236,2.0,2.0,Kolshet Road,Thane,19.2321621,72.9873688,0.5,1.0,0.0,42.0,1.0,0.0,1.0,Lodha Developers Limited,11600000.0,12836061.855670104,11830959.195290858,13938004.985772358
Unkown,5000000.0,470.8772630809144,2.0,1.0,Kalwa,Thane,19.1986281463791,73.00243846035,0.5,1.0,0.0,0.0,7.0,0.0,1.0,Unknown,15096882.33921457,9903409.090909092,11830959.195290858,14922676.984989278
Sudama Regency,3500000.0,358.0,1.0,1.0,Diva,Thane,19.1915751433493,73.0430090272966,1.0,1.0,0.0,18.0,5.0,0.0,1.0,Samrin Group,3226538.4615384615,3711842.8571428573,11830959.195290858,3209062.5
Dosti Imperia Majesta,49900000.0,1872.0,5.0,5.0,Ghodbunder Road,Thane,19.2516923732421,72.9728195264109,1.0,1.0,0.0,15.0,4.0,0.0,1.0,DOSTI REALTY,49900000.0,10508414.062706271,11830959.195290858,14372222.222222222
Sudama Regency III,3500000.0,468.0,1.0,1.0,Diva,Thane,19.1915751433493,73.0430090272966,0.0,1.0,0.0,19.0,5.0,0.0,1.0,Samrin Group,3133333.3333333335,3711842.8571428573,11830959.195290858,3209062.5
Sudama Regency III,2800000.0,403.0,1.0,1.0,Diva,Thane,19.1915751433493,73.0430090272966,0.0,1.0,0.0,19.0,5.0,0.0,1.0,Samrin Group,3133333.3333333335,3711842.8571428573,11830959.195290858,3209062.5
Sudama Regency III,3100000.0,403.0,1.0,1.0,Diva,Thane,19.1915751433493,73.0430090272966,0.0,1.0,0.0,19.0,5.0,0.0,1.0,Samrin Group,3133333.3333333335,3711842.8571428573,11830959.195290858,3209062.5
Unkown,3600000.0,343.0591891066688,1.0,1.0,Vitawa,Thane,19.1858617432989,72.9912007211561,0.5,1.0,0.0,0.0,0.0,0.0,1.0,Unknown,15096882.33921457,3600000.0,11830959.195290858,14922676.984989278
Akanksha Pioneer,8200000.0,454.0,1.0,2.0,Vartak Nagar,Thane,19.2123022683298,72.9624750800907,1.0,1.0,0.0,18.0,4.0,0.0,1.0,Akansha Enterprises,9133333.333333334,10790625.0,11830959.195290858,9133333.333333334
Akanksha Pioneer,10500000.0,454.0,2.0,2.0,Vartak Nagar,Thane,19.2123022683298,72.9624750800907,0.5,1.0,0.0,18.0,4.0,0.0,1.0,Akansha Enterprises,9133333.333333334,10790625.0,11830959.195290858,9133333.333333334
Sukur Residency,5200000.0,275.0,1.0,1.0,Anand Nagar Thane West,Thane,19.2640466932527,72.9652443996319,0.5,1.0,0.0,11.0,4.0,0.0,1.0,Jaiveer Group,5850000.0,7772916.666666667,11830959.195290858,7330000.0
